Index,Start time in milliseconds,End time in milliseconds,Script,"Label_(0:junior,1:senior,2:none)"
479,2090779,2096289,영업 3팀 신입사원 장 드립니다 오늘 데님 하고 협력업체 굉장히 열악한,2
480,2096299,2100380,어 돌 프 너,2
481,2100400,2103090,근데 이거 조조,2
482,2103100,2109060,과량 마법의 배울 게 많을 텐데 좀 별로 도움이 안 될 텐데,2
483,2109070,2113680,저희 과장님은 데님 볍게 많은 분이라고 하셨습니다,0
484,2113690,2118400,거래처에 관계에서도 인심을 장비라는 복음이 시험 여,2
485,2118410,2124650,뛰듯 내가,2
486,2124670,2127870,또 뭐라 하세요,2
487,2127880,2129700,에,2
488,2129710,2132760,[음악],2
489,2132770,2133420,아,2
490,2133430,2135430,[음악],2
491,2135440,2138880,중국 반도체 업체와 업무협조를 이룬 곳이라,2
492,2138890,2142180,그런데 최근에 몇 번 선정 문제가 발생했어요,2
493,2142190,2144739,무신 문제네요,2
494,2144749,2149630,배송이 자꾸지 영전에 국제 밥을 못 했다고 하는데요 예 어 어째서 다른,2
495,2149640,2153670,거래처를 들인 건 아닐까요,2
496,2153690,2157250,아 이런 경험이 될 기존 그렇지 않은 안전 방이라고 자크 랑 경험한,2
497,2157260,2158930,찾습니까,2
498,2158940,2162200,과학 아니 이 회사는 안그래,1
499,2162210,2166100,따로 뭘 물어 슈를 싸온 엎친데 에,2
500,2166110,2174560,그래도 이제 이렇게 한번씩 들러 줘야 서로 긴장감도 쌓이고 좋아요,2
501,2174580,2179040,지금 정신 없을까 오는 특권은 1 딸 마고,2
502,2179050,2181080,예시 대가리 살해하게,2
503,2181090,2187339,손수 감긴 다음에 머리도 좋은 전화로 버틸 때까지 버터와,1
504,2187359,2195410,박 대 박 때 그 친구는 말라고 해서 적당히 얘기 안 된다니까 하겠다 아,1
505,2195420,2203590,그럼 지금 바로 세인트 보냈다 아 이거 대만이 나한테 와,1
506,2203610,2205120,으,2
507,2205130,2207569,아 없다 아,2
508,2207579,2211930,옷들이 으,2
509,2211950,2220100,으 으 으,2
510,2220110,2223490,[음악],2
511,2223510,2227849,어째서 쓰니까 사장 한국 김부장이,2
512,2227859,2230700,이거 정말 미안하게 됐습니다,2
513,2230710,2236870,일단 접객 7에서 기다리고 계십시오 안내드려요,2
514,2236890,2239999,어 전엔 나와 같이 까지,2
515,2240009,2245170,위기에 처한 경우 불필요한 것을 발하라,2
516,2245190,2247890,무책임 해주세요 으,2
517,2247900,2252170,버리셔야 합니다 으,0
518,2252190,2253700,그들 닦아낼 수 없어요,2
519,2253710,2255250,[음악],2
520,2255260,2256630,대님 살아줘,2
521,2256640,2261540,[음악],2
522,2261560,2265529,으,2
523,2265549,2267960,오오오,2
524,2267970,2270720,지금까지 경과를,2
525,2270730,2273450,말씀 드리겠습니다,0
526,2273460,2278260,4장 최소 합니다 저희가 부족했습니다,0
527,2278280,2282290,잔에 든 죄 없이 내 굴 차리지,2
528,2282300,2287960,지금까지 된거 같습니다 7분에 화물 딜레이가 발생했고 그 원인을 오늘,2
529,2287970,2290379,알게 되었습니다,2
530,2290389,2294879,영실업 은 새로운 거래처를 늘리고자 하는 욕심에 초기 거래 에 집중한,2
531,2294889,2296409,겁니다,2
532,2296419,2300309,그 와중에 우리 제품에 운송에 지원 되었고 오늘,2
533,2300319,2304809,그동안의 기망 에 대해 알게 된 책임을 물었던 것입니다,2
534,2304819,2308709,전 여행자의 가지 않았으며 절대 몰랐을 거야 그렇지,1
535,2308719,2313019,거래처를 항상 상태,2
536,2313039,2326870,으 으,2
537,2326890,2328630,하지만,2
538,2328640,2333519,오늘 드러난 사실로 할 수 있는 몇가지 문제가 있습니다,2
539,2333539,2339260,7 9 4 문제가 생길 동안 담당자인 제가 아무 대책도 안보였던 점과,2
540,2339270,2347660,이 문제의 심각성에 대해 초기에 제대로 인지하지 못했다는 점입니다,2
541,2347680,2348990,[음악],2
542,2349000,2351830,그리고 전,2
543,2351850,2355030,제가 하는 일에 자신이 없었습니다 아,0
544,2355040,2360449,[음악],2
545,2360459,2362700,기 멍을 한 분,2
546,2362710,2364500,잡니다,2
547,2364510,2368249,[음악],2
548,2368259,2372359,저들이 그래도 돼 라고 생각하게 만든 건,2
549,2372369,2374950,접니다 5,2
550,2374960,2379420,제가 제 책임을 다하지 못했습니다,0
551,2379440,2380580,[음악],2
552,2380590,2385660,으,2
553,2385680,2391420,회사에서 책임을 물어야 할 대상은,2
554,2391440,2395800,바로 줍니다 으,2
555,2395820,2399160,으 되게 책임을 물어 주십시오,2
556,2399170,2401490,[음악],2
557,2401500,2404860,저건 2,2
558,2404880,2407120,전도로 기도해 주십시오,2
559,2407130,2408990,[음악],2
560,2409000,2413100,거래 끝이 말아 주십시오,2
561,2413120,2415700,페널티,2
562,2415720,2418240,으 주지 말아 주십시오,2
563,2418250,2421710,[음악],2
564,2421720,2433049,으,2
565,2433069,2437640,전에 입선 열려 차에,2
566,2437660,2439680,4,2
567,2439690,2444630,올해 4년차 입니다,2
568,2444650,2450210,참 낭만적인 일이야,2
569,2450230,2455620,i 친구와 그 아무렴 10년 가련 파트너를 2만원 문제로 버리게 나,1
570,2455630,2460780,자료 뭔데 자 내가 뭐라고 책임을 물어 어디에 질질 건대,2
571,2460790,2463480,그래서 그런 군은 지금 하는게 좋아,2
572,2463490,2468550,* 펴지면 자네 손에 가족 소외 회사 입장에서도 손에,2
573,2468560,2471100,그런 운이 나쁘지 않으니까 친구냐,2
574,2471110,2476529,잘 될리 맡아라,2
575,2476549,2476850,으,2
576,2476860,2481070,[음악],2
577,2481090,2487720,어떤 마도 그쳤을 때 보다 처참했다 으 다 자기만의 맞게 있는건데,2
578,2487730,2490080,내가 뭐라고,1
579,2490090,2493880,음 난타 이거 어디서 감히 으,2
580,2493890,2497080,비관한 수질이 냥,2
